object	../../../mgi_import_qc/11_11_2021/go_cam_mgi_file1.gpad	../../../mgi_import_qc/11_11_2021/noctua_merged_file2.gpad
GO:0000080	1	0
GO:0000085	1	0
GO:0000089	2	0
GO:0000124	4	0
GO:0000237	6	0
GO:0000239	6	0
GO:0000242	13	12
GO:0000381	19	18
GO:0000910	6	0
GO:0000922	13	12
GO:0000979	4	3
GO:0001101	2	0
GO:0001217	1	0
GO:0001508	15	7
GO:0001540	11	10
GO:0001553	10	9
GO:0001562	5	4
GO:0001667	7	4
GO:0001708	25	20
GO:0001709	13	11
GO:0001725	36	35
GO:0001750	79	71
GO:0001754	1	0
GO:0001772	23	22
GO:0001775	3	2
GO:0001816	32	3
GO:0001817	14	13
GO:0001819	19	17
GO:0001846	3	2
GO:0001872	5	2
GO:0001874	1	0
GO:0001878	8	5
GO:0001879	2	1
GO:0001916	19	18
GO:0001936	1	0
GO:0002115	6	5
GO:0002177	7	6
GO:0002238	3	2
GO:0002250	9	8
GO:0002367	3	0
GO:0002369	3	0
GO:0002373	2	0
GO:0002377	15	0
GO:0002381	6	0
GO:0002426	2	0
GO:0002448	3	1
GO:0002534	3	0
GO:0002752	2	1
GO:0003002	3	1
GO:0003073	9	8
GO:0003093	2	1
GO:0003214	1	0
GO:0003358	2	0
GO:0003674	12117	1000
GO:0003713	75	73
GO:0003725	43	42
GO:0003727	8	7
GO:0003924	80	78
GO:0003934	3	2
GO:0003953	2	1
GO:0003993	17	11
GO:0004706	1	0
GO:0004723	4	2
GO:0004833	1	0
GO:0004919	1	0
GO:0004984	1135	1114
GO:0005085	53	52
GO:0005267	22	21
GO:0005347	2	1
GO:0005524	30	29
GO:0005525	43	41
GO:0005540	10	9
GO:0005550	86	84
GO:0005575	10889	302
GO:0005622	116	0
GO:0005666	9	7
GO:0005721	16	15
GO:0005814	68	65
GO:0005833	4	3
GO:0005844	16	15
GO:0005925	63	62
GO:0005930	60	59
GO:0005955	8	2
GO:0006306	26	22
GO:0006457	11	10
GO:0006471	6	5
GO:0006493	23	22
GO:0006513	11	7
GO:0006605	21	19
GO:0006626	4	3
GO:0006805	9	7
GO:0006810	6	0
GO:0006812	26	19
GO:0006910	31	30
GO:0006928	13	0
