subject	../../../mgi_import_qc/11_11_2021/go_cam_mgi_file1.gpad	../../../mgi_import_qc/11_11_2021/noctua_merged_file2.gpad
MGI:101757	16	15
MGI:101758	2	0
MGI:101861	3	0
MGI:101894	7	6
MGI:101897	18	16
MGI:101945	3	0
MGI:102668	1	0
MGI:102669	3	2
MGI:102807	3	0
MGI:102960	3	1
MGI:103060	13	12
MGI:103098	18	17
MGI:103186	3	1
MGI:103266	6	5
MGI:103270	4	3
MGI:103305	18	17
MGI:103558	3	0
MGI:103577	32	31
MGI:104522	3	0
MGI:104524	3	0
MGI:104525	3	0
MGI:104599	3	0
MGI:104601	3	0
MGI:104604	3	0
MGI:104626	10	9
MGI:104628	1	0
MGI:104642	11	0
MGI:104752	3	1
MGI:104813	16	15
MGI:104837	1	0
MGI:104897	11	10
MGI:104913	13	12
MGI:104974	1	0
MGI:105047	6	5
MGI:105103	3	0
MGI:105104	3	0
MGI:105105	3	0
MGI:105108	31	0
MGI:105121	1	0
MGI:105385	3	0
MGI:105535	3	0
MGI:105973	3	0
MGI:105979	56	53
MGI:105986	2	1
MGI:105987	3	0
MGI:106023	1	0
MGI:106048	3	0
MGI:106049	3	0
MGI:106050	3	0
MGI:106051	3	0
MGI:106066	6	5
MGI:106199	8	7
MGI:106200	3	0
MGI:106250	1	0
MGI:106280	2	0
MGI:106316	3	0
MGI:106320	3	0
MGI:106351	3	0
MGI:106356	2	0
MGI:106368	19	0
MGI:106369	1	0
MGI:106378	1	0
MGI:106381	1	0
MGI:106390	1	0
MGI:106393	1	0
MGI:106403	1	0
MGI:106407	3	0
MGI:106426	1	0
MGI:106455	3	0
MGI:106485	1	0
MGI:106498	2	0
MGI:106506	3	0
MGI:106557	3	0
MGI:106562	1	0
MGI:106576	4	3
MGI:106580	1	0
MGI:106619	3	1
MGI:106620	3	1
MGI:106633	17	11
MGI:106910	19	0
MGI:107171	10	4
MGI:107213	3	0
MGI:107222	3	0
MGI:107238	3	0
MGI:107282	1	0
MGI:107284	3	0
MGI:107300	3	0
MGI:107301	3	0
MGI:107305	3	0
MGI:107310	3	0
MGI:107321	5	4
MGI:107380	2	0
MGI:107461	2	1
MGI:107469	5	4
MGI:107476	9	8
MGI:107477	24	23
MGI:107527	10	9
MGI:107540	2	1
MGI:107563	8	7
MGI:107564	6	5
MGI:107573	3	0
MGI:107577	9	0
MGI:107578	2	1
MGI:107587	1	0
MGI:107658	7	6
MGI:107670	8	0
MGI:107675	5	0
MGI:107706	2	1
MGI:107813	17	16
MGI:107884	3	0
MGI:107885	3	0
MGI:107889	3	2
MGI:107892	2	0
MGI:107893	1	0
MGI:107932	15	14
MGI:107940	65	7
MGI:107975	3	0
MGI:108014	10	9
MGI:108027	12	0
MGI:108102	3	0
MGI:108563	14	13
MGI:109248	3	2
MGI:109505	1	0
MGI:109506	1	0
MGI:109529	3	2
MGI:109530	9	8
MGI:1096338	7	6
MGI:109634	7	6
MGI:1096381	23	22
MGI:1096572	2	0
MGI:1097162	3	0
MGI:1097694	3	0
MGI:1097696	1	0
MGI:1097703	3	0
MGI:1097707	3	0
MGI:1097715	3	0
MGI:1098245	3	0
MGI:1098275	3	0
MGI:1098533	1	0
MGI:1098568	3	0
MGI:1098581	3	0
MGI:1098587	3	0
MGI:1098600	1	0
MGI:1098653	1	0
MGI:1098672	3	0
MGI:1098699	1	0
MGI:1098716	3	0
MGI:1098724	3	0
MGI:1098748	3	2
MGI:1098773	1	0
MGI:1098784	1	0
MGI:1099460	4	3
MGI:1099461	1	0
MGI:1099462	1	0
MGI:1099464	2	0
MGI:1099792	5	1
MGI:1100487	3	0
MGI:1100489	3	0
MGI:1100490	3	0
MGI:1100491	3	0
MGI:1100493	3	0
MGI:1100521	5	4
MGI:1100841	3	0
MGI:1100843	3	0
MGI:1100855	2	0
MGI:1100866	3	0
MGI:1100876	3	0
MGI:1100877	1	0
MGI:1100884	3	0
MGI:1194488	20	19
MGI:1194491	1	0
MGI:1195463	5	2
MGI:1195959	3	0
MGI:1195973	3	0
MGI:1195974	3	0
MGI:1195975	3	0
MGI:1195988	3	0
MGI:1196217	3	1
MGI:1196228	3	0
MGI:1196230	3	0
MGI:1196252	1	0
MGI:1196314	4	2
MGI:1196315	3	0
MGI:1196316	2	0
MGI:1196387	3	0
MGI:1196400	1	0
MGI:1196435	3	0
MGI:1196450	3	0
MGI:1196455	2	0
MGI:1197010	11	10
MGI:1201389	3	0
MGI:1201407	4	3
MGI:1201410	3	0
MGI:1201411	3	0
MGI:1201413	3	0
MGI:1201784	2	1
MGI:1202065	17	16
MGI:1202390	3	1
MGI:1202722	5	4
MGI:1202878	10	0
MGI:1203485	3	0
MGI:1261416	3	0
MGI:1261418	3	0
MGI:1261419	1	0
MGI:1261424	3	0
MGI:1261427	3	0
MGI:1261429	3	0
MGI:1261432	3	0
MGI:1261763	3	0
MGI:1261783	2	0
MGI:1261797	1	0
MGI:1261801	3	0
MGI:1261835	1	0
MGI:1261849	3	0
MGI:1261885	3	0
MGI:1261912	2	0
MGI:1270128	8	7
MGI:1270855	5	4
MGI:1276541	3	0
MGI:1277101	3	0
MGI:1277133	2	0
MGI:1277153	3	0
MGI:1277165	3	0
MGI:1277176	3	0
MGI:1277178	1	0
MGI:1277206	3	0
MGI:1277213	3	0
MGI:1277218	2	0
MGI:1277236	3	0
MGI:1277948	1	0
MGI:1277949	2	1
MGI:1289174	3	0
MGI:1289192	2	0
MGI:1289201	3	0
MGI:1289213	3	0
MGI:1289222	3	0
MGI:1289225	1	0
MGI:1289231	2	0
MGI:1289234	2	1
MGI:1289279	6	5
MGI:1289294	1	0
MGI:1289318	2	0
MGI:1289321	3	1
MGI:1289325	1	0
MGI:1289332	1	0
