subject	go_cam_mgi_file1.gpad	noctua_merged_file2.gpad
MGI:103060	13	12
MGI:104628	1	0
MGI:106910	19	0
MGI:107477	24	23
MGI:1270128	8	7
MGI:1328308	5	4
MGI:1330239	11	9
MGI:1333822	8	7
MGI:1338056	40	39
MGI:1346013	9	8
MGI:1346527	4	3
MGI:1346861	45	44
MGI:1351467	3	0
MGI:1354710	10	9
MGI:1913079	1	0
MGI:1914043	11	10
MGI:1914593	3	0
MGI:1918959	19	17
MGI:1919107	12	10
MGI:1921821	4	3
MGI:1923760	10	9
MGI:1924298	12	11
MGI:1924833	11	10
MGI:2136882	11	8
MGI:2138993	5	3
MGI:2143217	4	3
MGI:2145261	11	9
MGI:2149951	12	11
MGI:2155808	8	7
MGI:2384916	11	10
MGI:2446176	5	4
MGI:2683537	4	3
MGI:3036268	13	11
MGI:5584117	3	0
MGI:891999	13	12
MGI:892967	3	0
MGI:892981	1	0
MGI:94872	13	12
MGI:95300	3	2
MGI:95675	7	6
MGI:95758	54	53
MGI:96110	2	0
MGI:96248	5	0
MGI:96249	1	0
MGI:96628	19	18
MGI:96748	27	26
PR:P15379-5	4	3
PR:Q99MU3-3	3	2
RefSeq:NR_028355	1	0
